"torneo","home_team","away_team","home_goals","away_goals","resultado"
"Nacional 1976 - Grupo C","All Boys","Aldosivi",2,0,"Local gana"
"Nacional 1976 - Grupo C","Aldosivi","All Boys",4,0,"Local gana"
"Superliga 2019/20 - Fecha 2","Aldosivi","Argentinos",0,0,"Empate"
"Superliga 2018/19 - Fecha 15","Argentinos","Aldosivi",1,2,"Visita gana"
"Torneo 2016 - Fecha 2","Aldosivi","Argentinos",3,2,"Local gana"
"Campeonato 2015 - Fecha 11","Argentinos","Aldosivi",0,1,"Visita gana"
"Nacional 1975 - Grupo B","Argentinos","Aldosivi",1,1,"Empate"
"Nacional 1975 - Grupo B","Aldosivi","Argentinos",3,4,"Visita gana"
"Superliga 2019/20 - Fecha 23","Arsenal","Aldosivi",4,0,"Local gana"
"Campeonato 2016/17 - Fecha 17","Aldosivi","Arsenal",2,1,"Local gana"
"Campeonato 2015 - Fecha 7","Arsenal","Aldosivi",0,3,"Visita gana"
"Campeonato 2016/17 - Fecha 15","Aldosivi","Atl Rafaela",1,0,"Local gana"
"Torneo 2016 - Fecha 15","Aldosivi","Atl Rafaela",2,1,"Local gana"
"Campeonato 2015 - Fecha 19","Atl Rafaela","Aldosivi",2,1,"Local gana"
"Superliga 2019/20 - Fecha 4","Aldosivi","Atl Tucuman",3,0,"Local gana"
"Superliga 2018/19 - Fecha 24","Atl Tucuman","Aldosivi",1,0,"Local gana"
"Campeonato 2016/17 - Fecha 16","Atl Tucuman","Aldosivi",0,0,"Empate"
"Torneo 2016 - Fecha 7","Atl Tucuman","Aldosivi",1,1,"Empate"
"Nacional 1975 - Grupo B","Atl Tucuman","Aldosivi",3,2,"Local gana"
"Nacional 1975 - Grupo B","Aldosivi","Atl Tucuman",1,3,"Visita gana"
"Superliga 2019/20 - Fecha 21","Banfield","Aldosivi",0,1,"Visita gana"
"Superliga 2018/19 - Fecha 11","Aldosivi","Banfield",1,4,"Visita gana"
"Campeonato 2016/17 - Fecha 3","Aldosivi","Banfield",1,3,"Visita gana"
"Campeonato 2015 - Liguilla Sudamericana","Banfield","Aldosivi",1,1,"Empate"
"Campeonato 2015 - Liguilla Sudamericana","Aldosivi","Banfield",2,3,"Visita gana"
"Campeonato 2015 - Fecha 12","Aldosivi","Banfield",0,3,"Visita gana"
"Superliga 2018/19 - Fecha 6","Aldosivi","Belgrano",2,0,"Local gana"
"Campeonato 2016/17 - Fecha 6","Belgrano","Aldosivi",0,0,"Empate"
"Campeonato 2015 - Fecha 5","Belgrano","Aldosivi",0,1,"Visita gana"
"Superliga 2019/20 - Fecha 3","Boca Juniors","Aldosivi",2,0,"Local gana"
"Superliga 2018/19 - Fecha 25","Aldosivi","Boca Juniors",1,1,"Empate"
"Campeonato 2016/17 - Fecha 28","Aldosivi","Boca Juniors",0,4,"Visita gana"
"Torneo 2016 - Fecha 11","Boca Juniors","Aldosivi",4,1,"Local gana"
"Campeonato 2015 - Fecha 13","Boca Juniors","Aldosivi",0,3,"Visita gana"
"Nacional 1975 - Grupo B","Boca Juniors","Aldosivi",1,2,"Visita gana"
"Nacional 1975 - Grupo B","Aldosivi","Boca Juniors",1,4,"Visita gana"
"Superliga 2019/20 - Fecha 19","Aldosivi","Central Cba (SdE)",0,2,"Visita gana"
"Nacional 1974 - Grupo C","Chacarita","Aldosivi",4,1,"Local gana"
"Nacional 1974 - Grupo C","Aldosivi","Chacarita",2,2,"Empate"
"Nacional 1975 - Fecha Intergrupo","Aldosivi","Cipolletti",1,1,"Empate"
"Nacional 1975 - Fecha Intergrupo","Cipolletti","Aldosivi",0,1,"Visita gana"
"Superliga 2019/20 - Fecha 16","Colon","Aldosivi",0,2,"Visita gana"
"Superliga 2018/19 - Fecha 23","Aldosivi","Colon",3,0,"Local gana"
"Campeonato 2016/17 - Fecha 1","Aldosivi","Colon",0,2,"Visita gana"
"Campeonato 2015 - Fecha 20","Aldosivi","Colon",1,1,"Empate"
"Campeonato 2015 - Fecha 30","Crucero (M)","Aldosivi",0,2,"Visita gana"
"Campeonato 2015 - Fecha 24","Aldosivi","Crucero (M)",2,0,"Local gana"
"Superliga 2019/20 - Fecha 10","Aldosivi","Def y Justicia",1,0,"Local gana"
"Superliga 2018/19 - Fecha 21","Aldosivi","Def y Justicia",0,1,"Visita gana"
"Campeonato 2016/17 - Fecha 9","Aldosivi","Def y Justicia",0,0,"Empate"
"Torneo 2016 - Fecha 5","Def y Justicia","Aldosivi",4,0,"Local gana"
"Campeonato 2015 - Fecha 21","Def y Justicia","Aldosivi",4,0,"Local gana"
"Nacional 1974 - Grupo C","Dep Mandiyu (C)","Aldosivi",1,1,"Empate"
"Nacional 1974 - Grupo C","Aldosivi","Dep Mandiyu (C)",2,0,"Local gana"
"Superliga 2019/20 - Fecha 1","Estudiantes (LP)","Aldosivi",1,0,"Local gana"
"Superliga 2018/19 - Fecha 5","Estudiantes (LP)","Aldosivi",0,2,"Visita gana"
"Campeonato 2016/17 - Fecha 19","Aldosivi","Estudiantes (LP)",1,4,"Visita gana"
"Torneo 2016 - Fecha 4","Aldosivi","Estudiantes (LP)",1,2,"Visita gana"
"Campeonato 2015 - Fecha 23","Estudiantes (LP)","Aldosivi",2,1,"Local gana"
"Nacional 1975 - Grupo B","Aldosivi","Ferro",1,0,"Local gana"
"Nacional 1975 - Grupo B","Ferro","Aldosivi",3,1,"Local gana"
"Nacional 1974 - Grupo C","Aldosivi","Ferro",0,2,"Visita gana"
"Nacional 1974 - Grupo C","Ferro","Aldosivi",2,1,"Local gana"
"Superliga 2019/20 - Fecha 13","Aldosivi","Gimnasia (LP)",0,3,"Visita gana"
"Superliga 2018/19 - Fecha 20","Aldosivi","Gimnasia (LP)",0,0,"Empate"
"Campeonato 2016/17 - Fecha 20","Gimnasia (LP)","Aldosivi",1,0,"Local gana"
"Campeonato 2015 - Fecha 9","Gimnasia (LP)","Aldosivi",4,1,"Local gana"
"Nacional 1975 - Grupo B","Gimnasia (LP)","Aldosivi",4,0,"Local gana"
"Nacional 1975 - Grupo B","Aldosivi","Gimnasia (LP)",2,1,"Local gana"
"Superliga 2019/20 - Fecha 11","Godoy Cruz","Aldosivi",3,2,"Local gana"
"Superliga 2018/19 - Fecha 9","Godoy Cruz","Aldosivi",2,0,"Local gana"
"Campeonato 2016/17 - Fecha 8","Godoy Cruz","Aldosivi",3,1,"Local gana"
"Campeonato 2015 - Fecha 8","Aldosivi","Godoy Cruz",2,0,"Local gana"
"Nacional 1974 - Grupo C","Godoy Cruz","Aldosivi",2,1,"Local gana"
"Nacional 1974 - Grupo C","Aldosivi","Godoy Cruz",3,1,"Local gana"
"Superliga 2019/20 - Fecha 20","Huracan","Aldosivi",0,2,"Visita gana"
"Superliga 2018/19 - Fecha 2","Aldosivi","Huracan",2,1,"Local gana"
"Campeonato 2016/17 - Fecha 23","Aldosivi","Huracan",0,3,"Visita gana"
"Torneo 2016 - Fecha 3","Huracan","Aldosivi",2,0,"Local gana"
"Campeonato 2015 - Fecha 25","Aldosivi","Huracan",0,0,"Empate"
"Nacional 1976 - Grupo C","Huracan","Aldosivi",4,1,"Local gana"
"Nacional 1976 - Grupo C","Aldosivi","Huracan",0,3,"Visita gana"
"Superliga 2019/20 - Fecha 15","Aldosivi","Independiente",0,0,"Empate"
"Superliga 2018/19 - Fecha 22","Independiente","Aldosivi",2,0,"Local gana"
"Campeonato 2016/17 - Fecha 26","Aldosivi","Independiente",0,0,"Empate"
"Campeonato 2015 - Fecha 29","Aldosivi","Independiente",1,0,"Local gana"
"Nacional 1975 - Grupo B","Aldosivi","Juv. Alianza (SJ)",5,0,"Local gana"
"Nacional 1975 - Grupo B","Juv. Alianza (SJ)","Aldosivi",1,2,"Visita gana"
"Superliga 2019/20 - Fecha 17","Aldosivi","Lanus",2,0,"Local gana"
"Superliga 2018/19 - Fecha 3","Lanus","Aldosivi",0,1,"Visita gana"
"Campeonato 2016/17 - Fecha 4","Lanus","Aldosivi",0,0,"Empate"
"Torneo 2016 - Fecha 14","Lanus","Aldosivi",2,0,"Local gana"
"Campeonato 2015 - Fecha 27","Aldosivi","Lanus",3,1,"Local gana"
"Superliga 2019/20 - Fecha 7","Newells","Aldosivi",2,0,"Local gana"
"Superliga 2018/19 - Fecha 13","Aldosivi","Newells",1,0,"Local gana"
"Campeonato 2016/17 - Fecha 21","Aldosivi","Newells",0,3,"Visita gana"
"Torneo 2016 - Fecha 9","Newells","Aldosivi",1,1,"Empate"
"Campeonato 2015 - Fecha 2","Aldosivi","Newells",0,1,"Visita gana"
"Campeonato 2015 - Fecha 26","Nueva Chicago","Aldosivi",3,1,"Local gana"
"Campeonato 2016/17 - Fecha 30","Aldosivi","Olimpo",0,3,"Visita gana"
"Campeonato 2016/17 - Fecha 24","Olimpo","Aldosivi",2,0,"Local gana"
"Torneo 2016 - Fecha 12","Olimpo","Aldosivi",2,1,"Local gana"
"Torneo 2016 - Fecha 1","Aldosivi","Olimpo",3,0,"Local gana"
"Campeonato 2015 - Fecha 17","Olimpo","Aldosivi",3,1,"Local gana"
"Liga 2021 - Fecha 1","Aldosivi","Patronato",0,2,"Visita gana"
"Superliga 2019/20 - Fecha 6","Aldosivi","Patronato",1,1,"Empate"
"Superliga 2018/19 - Fecha 19","Patronato","Aldosivi",0,0,"Empate"
"Campeonato 2016/17 - Fecha 13","Aldosivi","Patronato",1,1,"Empate"
"Liga 2021 - Fecha 2","Platense","Aldosivi",0,1,"Visita gana"
"Nacional 1976 - Grupo C","Platense","Aldosivi",1,2,"Visita gana"
"Nacional 1976 - Grupo C","Aldosivi","Platense",1,1,"Empate"
"Campeonato 2016/17 - Fecha 10","Quilmes","Aldosivi",1,0,"Local gana"
"Campeonato 2015 - Fecha 4","Aldosivi","Quilmes",1,1,"Empate"
"Liga 2021 - Fecha 3","Aldosivi","Racing Club",0,2,"Visita gana"
"Superliga 2019/20 - Fecha 9","Racing Club","Aldosivi",2,0,"Local gana"
"Superliga 2018/19 - Fecha 16","Aldosivi","Racing Club",1,3,"Visita gana"
"Campeonato 2016/17 - Fecha 27","Racing Club","Aldosivi",1,1,"Empate"
"Torneo 2016 - Fecha 10","Aldosivi","Racing Club",2,1,"Local gana"
"Campeonato 2015 - Fecha 14","Aldosivi","Racing Club",1,2,"Visita gana"
"Nacional 1974 - Grupo C","Aldosivi","Racing Club",3,1,"Local gana"
"Nacional 1974 - Grupo C","Racing Club","Aldosivi",3,1,"Local gana"
"Superliga 2019/20 - Fecha 12","Aldosivi","River Plate",1,2,"Visita gana"
"Superliga 2018/19 - Fecha 10","River Plate","Aldosivi",1,0,"Local gana"
"Campeonato 2016/17 - Fecha 29","River Plate","Aldosivi",1,0,"Local gana"
"Campeonato 2015 - Fecha 28","River Plate","Aldosivi",1,1,"Empate"
"Liga 2021 - Fecha 4","Rosario Central","Aldosivi",1,2,"Visita gana"
"Superliga 2019/20 - Fecha 14","Rosario Central","Aldosivi",5,1,"Local gana"
"Superliga 2018/19 - Fecha 17","Rosario Central","Aldosivi",0,0,"Empate"
"Campeonato 2016/17 - Fecha 22","Rosario Central","Aldosivi",2,0,"Local gana"
"Campeonato 2015 - Fecha 16","Aldosivi","Rosario Central",1,3,"Visita gana"
"Nacional 1976 - Grupo C","Rosario Central","Aldosivi",3,2,"Local gana"
"Nacional 1976 - Grupo C","Aldosivi","Rosario Central",1,1,"Empate"
"Superliga 2019/20 - Fecha 22","Aldosivi","San Lorenzo",1,3,"Visita gana"
"Superliga 2018/19 - Fecha 14","Aldosivi","San Lorenzo",2,2,"Empate"
"Campeonato 2016/17 - Fecha 25","San Lorenzo","Aldosivi",0,1,"Visita gana"
"Campeonato 2015 - Fecha 10","Aldosivi","San Lorenzo",1,0,"Local gana"
"Nacional 1975 - Grupo B","Aldosivi","San Lorenzo",0,2,"Visita gana"
"Nacional 1975 - Grupo B","San Lorenzo","Aldosivi",1,0,"Local gana"
"Nacional 1974 - Grupo C","San Lorenzo","Aldosivi",3,0,"Local gana"
"Nacional 1974 - Grupo C","Aldosivi","San Lorenzo",0,3,"Visita gana"
"Nacional 1976 - Fecha Intergrupo","San Lorenzo (MdP)","Aldosivi",1,1,"Empate"
"Nacional 1976 - Fecha Intergrupo","Aldosivi","San Lorenzo (MdP)",3,1,"Local gana"
"Nacional 1974 - Fecha Intergrupo","San Lorenzo (MdP)","Aldosivi",2,3,"Visita gana"
"Nacional 1974 - Fecha Intergrupo","Aldosivi","San Lorenzo (MdP)",1,1,"Empate"
"Nacional 1976 - Grupo C","Aldosivi","San Martin (M)",2,5,"Visita gana"
"Nacional 1976 - Grupo C","San Martin (M)","Aldosivi",0,1,"Visita gana"
"Superliga 2018/19 - Fecha 18","Aldosivi","San Martin (SJ)",1,0,"Local gana"
"Campeonato 2016/17 - Fecha 7","Aldosivi","San Martin (SJ)",1,2,"Visita gana"
"Torneo 2016 - Fecha 8","Aldosivi","San Martin (SJ)",2,2,"Empate"
"Campeonato 2015 - Fecha 22","Aldosivi","San Martin (SJ)",2,0,"Local gana"
"Superliga 2018/19 - Fecha 8","Aldosivi","San Martin (T)",2,0,"Local gana"
"Nacional 1974 - Grupo C","Aldosivi","San Martin (T)",1,1,"Empate"
"Nacional 1974 - Grupo C","San Martin (T)","Aldosivi",1,0,"Local gana"
"Campeonato 2016/17 - Fecha 14","Sarmiento (J)","Aldosivi",0,2,"Visita gana"
"Campeonato 2015 - Fecha 3","Sarmiento (J)","Aldosivi",2,2,"Empate"
"Superliga 2019/20 - Fecha 5","Talleres (C)","Aldosivi",2,1,"Local gana"
"Superliga 2018/19 - Fecha 12","Talleres (C)","Aldosivi",0,0,"Empate"
"Campeonato 2016/17 - Fecha 5","Aldosivi","Talleres (C)",2,1,"Local gana"
"Campeonato 2016/17 - Fecha 18","Temperley","Aldosivi",1,0,"Local gana"
"Torneo 2016 - Fecha 6","Aldosivi","Temperley",1,1,"Empate"
"Campeonato 2015 - Fecha 18","Aldosivi","Temperley",0,0,"Empate"
"Superliga 2018/19 - Fecha 4","Aldosivi","Tigre",0,2,"Visita gana"
"Campeonato 2016/17 - Fecha 12","Tigre","Aldosivi",1,1,"Empate"
"Torneo 2016 - Fecha 16","Tigre","Aldosivi",2,0,"Local gana"
"Campeonato 2015 - Fecha 15","Tigre","Aldosivi",2,1,"Local gana"
"Superliga 2019/20 - Fecha 8","Aldosivi","Union",1,2,"Visita gana"
"Superliga 2018/19 - Fecha 1","Union","Aldosivi",1,0,"Local gana"
"Campeonato 2016/17 - Fecha 2","Union","Aldosivi",0,0,"Empate"
"Torneo 2016 - Fecha 13","Aldosivi","Union",1,1,"Empate"
"Campeonato 2015 - Liguilla Sudamericana","Union","Aldosivi",1,2,"Visita gana"
"Campeonato 2015 - Fecha 6","Aldosivi","Union",3,3,"Empate"
"Nacional 1976 - Grupo C","Aldosivi","Union",1,4,"Visita gana"
"Nacional 1976 - Grupo C","Union","Aldosivi",2,0,"Local gana"
"Superliga 2019/20 - Fecha 18","Velez","Aldosivi",1,1,"Empate"
"Superliga 2018/19 - Fecha 7","Velez","Aldosivi",2,0,"Local gana"
"Campeonato 2016/17 - Fecha 11","Aldosivi","Velez",0,0,"Empate"
"Campeonato 2015 - Fecha 1","Velez","Aldosivi",2,0,"Local gana"
"Nacional 1976 - Grupo C","Aldosivi","Velez",0,0,"Empate"
"Nacional 1976 - Grupo C","Velez","Aldosivi",4,1,"Local gana"
"Nacional 1979 - Grupo C","All Boys","Altos Hornos Zapla",4,1,"Local gana"
"Nacional 1979 - Grupo C","Altos Hornos Zapla","All Boys",0,0,"Empate"
"Torneo Final 2014 - Fecha 6","All Boys","Argentinos",0,0,"Empate"
"Torneo Inicial 2013 - Fecha 6","Argentinos","All Boys",1,0,"Local gana"
"Torneo Final 2013 - Fecha 7","Argentinos","All Boys",1,0,"Local gana"
"Torneo Inicial 2012 - Fecha 7","All Boys","Argentinos",0,1,"Visita gana"
"Torneo Clausura 2012 - Fecha 18","Argentinos","All Boys",1,0,"Local gana"
"Torneo Apertura 2011 - Fecha 18","All Boys","Argentinos",1,0,"Local gana"
"Torneo Clausura 2011 - Fecha 12","All Boys","Argentinos",0,0,"Empate"
"Torneo Apertura 2010 - Fecha 12","Argentinos","All Boys",1,0,"Local gana"
"Metropolitano 1980 - Fecha 33","Argentinos","All Boys",3,3,"Empate"
"Metropolitano 1980 - Fecha 14","All Boys","Argentinos",0,0,"Empate"
"Nacional 1979 - Grupo C","Argentinos","All Boys",2,0,"Local gana"
"Nacional 1979 - Grupo C","All Boys","Argentinos",0,0,"Empate"
"Metropolitano 1978 - Fecha 39","Argentinos","All Boys",1,0,"Local gana"
"Metropolitano 1978 - Fecha 18","All Boys","Argentinos",1,1,"Empate"
"Metropolitano 1977 - Fecha 40","Argentinos","All Boys",3,2,"Local gana"
"Metropolitano 1977 - Fecha 17","All Boys","Argentinos",3,4,"Visita gana"
"Nacional 1977 - Grupo D","All Boys","Argentinos",0,1,"Visita gana"
"Nacional 1977 - Grupo D","Argentinos","All Boys",1,1,"Empate"
"Metropolitano 1976 - Grupo Descenso","All Boys","Argentinos",2,2,"Empate"
"Metropolitano 1976 - Fecha Intergrupo","All Boys","Argentinos",0,2,"Visita gana"
"Metropolitano 1976 - Fecha Intergrupo","Argentinos","All Boys",2,0,"Local gana"
"Nacional 1976 - Fecha Intergrupo","All Boys","Argentinos",4,1,"Local gana"
"Nacional 1976 - Fecha Intergrupo","Argentinos","All Boys",3,0,"Local gana"
"Metropolitano 1975 - Fecha 21","All Boys","Argentinos",3,1,"Local gana"
"Metropolitano 1975 - Fecha 2","Argentinos","All Boys",2,0,"Local gana"
"Nacional 1975 - Fecha Intergrupo","All Boys","Argentinos",3,3,"Empate"
"Nacional 1975 - Fecha Intergrupo","Argentinos","All Boys",2,1,"Local gana"
"Metropolitano 1974 - Fecha Intergrupo","Argentinos","All Boys",2,1,"Local gana"
"Metropolitano 1974 - Fecha Intergrupo","All Boys","Argentinos",3,0,"Local gana"
"Nacional 1974 - Fecha Intergrupo","All Boys","Argentinos",1,1,"Empate"
"Nacional 1974 - Fecha Intergrupo","Argentinos","All Boys",0,0,"Empate"
"Metropolitano 1973 - Fecha 21","Argentinos","All Boys",0,0,"Empate"
"Metropolitano 1973 - Fecha 3","All Boys","Argentinos",1,3,"Visita gana"
"Nacional 1973 - Fecha Intergrupo","All Boys","Argentinos",1,3,"Visita gana"
"Torneo Final 2014 - Fecha 14","All Boys","Arsenal",1,1,"Empate"
"Torneo Inicial 2013 - Fecha 14","Arsenal","All Boys",1,1,"Empate"
"Torneo Final 2013 - Fecha 19","Arsenal","All Boys",4,0,"Local gana"
"Torneo Inicial 2012 - Fecha 19","All Boys","Arsenal",0,1,"Visita gana"
"Torneo Clausura 2012 - Fecha 8","All Boys","Arsenal",0,2,"Visita gana"
"Torneo Apertura 2011 - Fecha 8","Arsenal","All Boys",1,2,"Visita gana"
"Torneo Clausura 2011 - Fecha 14","All Boys","Arsenal",1,0,"Local gana"
"Torneo Apertura 2010 - Fecha 14","Arsenal","All Boys",0,0,"Empate"
"Nacional 1978 - Grupo A","Atl Ledesma (J)","All Boys",0,0,"Empate"
"Nacional 1978 - Grupo A","All Boys","Atl Ledesma (J)",2,2,"Empate"
"Nacional 1977 - Grupo D","Atl Ledesma (J)","All Boys",4,1,"Local gana"
"Nacional 1977 - Grupo D","All Boys","Atl Ledesma (J)",2,0,"Local gana"
"Torneo Final 2014 - Fecha 1","Atl Rafaela","All Boys",1,1,"Empate"
"Torneo Inicial 2013 - Fecha 1","All Boys","Atl Rafaela",1,1,"Empate"
"Torneo Final 2013 - Fecha 6","All Boys","Atl Rafaela",2,1,"Local gana"
"Torneo Inicial 2012 - Fecha 6","Atl Rafaela","All Boys",2,1,"Local gana"
"Torneo Clausura 2012 - Fecha 3","Atl Rafaela","All Boys",0,1,"Visita gana"
"Torneo Apertura 2011 - Fecha 3","All Boys","Atl Rafaela",1,2,"Visita gana"
"Nacional 1979 - Grupo C","All Boys","Atl Tucuman",1,0,"Local gana"
"Nacional 1979 - Grupo C","Atl Tucuman","All Boys",1,1,"Empate"
"Metropolitano 1979 - Grupo B","Atlanta","All Boys",1,1,"Empate"
"Metropolitano 1979 - Grupo B","All Boys","Atlanta",4,1,"Local gana"
"Metropolitano 1978 - Fecha 35","Atlanta","All Boys",1,1,"Empate"
"Metropolitano 1978 - Fecha 14","All Boys","Atlanta",0,0,"Empate"
